product_id,product_title,variant_id,old_price,new_price,old_compare_at,new_compare_at
gid://shopify/Product/8535953441078,PHARMA GERMANIA - Nettle Stinging - 25 Tea Bags,gid://shopify/ProductVariant/45983216632118,92.11,92.00,,
gid://shopify/Product/8537213108534,PHARMA GERMANIA - Swedish Bitters 11 - 100g,gid://shopify/ProductVariant/45989691883830,129.38,129.00,,
gid://shopify/Product/8537214026038,PHARMA GERMANIA - Swedish Bitters 19 - 195g,gid://shopify/ProductVariant/45989699584310,311.35,311.00,,
gid://shopify/Product/8537215926582,PHARMA GERMANIA - Thyme - 100g,gid://shopify/ProductVariant/45989709087030,51.19,51.00,,
gid://shopify/Product/8537218777398,PHARMA GERMANIA - Tumeric Pieces - 75g,gid://shopify/ProductVariant/45989727273270,47.92,47.00,,
gid://shopify/Product/8537219629366,PHARMA GERMANIA - Tumeric Powder - 100g,gid://shopify/ProductVariant/45989731795254,36.86,36.00,,
gid://shopify/Product/8537220383030,PHARMA GERMANIA - Vervain Herb - 75g,gid://shopify/ProductVariant/45989737267510,66.34,66.00,,
gid://shopify/Product/8537221923126,PHARMA GERMANIA - Valerian Root - 100g,gid://shopify/ProductVariant/45989745033526,127.09,127.00,,
gid://shopify/Product/8537222807862,PHARMA GERMANIA - White Willow Bark - 100g,gid://shopify/ProductVariant/45989752963382,92.11,92.00,,
gid://shopify/Product/8537223954742,PHARMA GERMANIA - Wild Cherry Fruit Tea - 25 Tea Bags,gid://shopify/ProductVariant/45989758730550,79.35,79.00,,
gid://shopify/Product/8537226346806,PHARMA GERMANIA - Wild Dagga - 75g,gid://shopify/ProductVariant/45989771575606,50.02,50.00,,
gid://shopify/Product/8537228378422,PHARMA GERMANIA - Wild Yam Root - 100g,gid://shopify/ProductVariant/45989777998134,150.07,150.00,,
gid://shopify/Product/8537229754678,PHARMA GERMANIA - Wilde Als-African Wormwood - 75g,gid://shopify/ProductVariant/45989785043254,53.36,53.00,,
